"filename", "language", "PostCSS", "TypeScript", "HTML", "JSON", "comment", "blank", "total"
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\employer\employer-vacancy-edit\employer-vacancy-edit.component.css", "PostCSS", 0, 0, 0, 0, 0, 1, 1
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\employer\employer-vacancy-edit\employer-vacancy-edit.component.html", "HTML", 0, 0, 195, 0, 0, 2, 197
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\employer\employer-vacancy-edit\employer-vacancy-edit.component.ts", "TypeScript", 0, 91, 0, 0, 2, 7, 100
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\employer\employer-vacancy-list\employer-vacancy-list.component.css", "PostCSS", 0, 0, 0, 0, 0, 1, 1
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\employer\employer-vacancy-list\employer-vacancy-list.component.html", "HTML", 0, 0, 51, 0, 0, 1, 52
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\employer\employer-vacancy-list\employer-vacancy-list.component.ts", "TypeScript", 0, 59, 0, 0, 0, 7, 66
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\employer\employer-view-vacancy-reqs\employer-view-vacancy-reqs.component.css", "PostCSS", 0, 0, 0, 0, 0, 1, 1
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\employer\employer-view-vacancy-reqs\employer-view-vacancy-reqs.component.html", "HTML", 0, 0, 24, 0, 0, 2, 26
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\employer\employer-view-vacancy-reqs\employer-view-vacancy-reqs.component.ts", "TypeScript", 0, 47, 0, 0, 1, 3, 51
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\jobseeker\js-applied-vacancies\js-applied-vacancies.component.css", "PostCSS", 0, 0, 0, 0, 0, 1, 1
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\jobseeker\js-applied-vacancies\js-applied-vacancies.component.html", "HTML", 0, 0, 33, 0, 0, 1, 34
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\jobseeker\js-applied-vacancies\js-applied-vacancies.component.ts", "TypeScript", 0, 74, 0, 0, 1, 10, 85
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\jobseeker\js-create-experience\js-create-experience.component.css", "PostCSS", 0, 0, 0, 0, 0, 1, 1
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\jobseeker\js-create-experience\js-create-experience.component.html", "HTML", 0, 0, 132, 0, 4, 6, 142
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\jobseeker\js-create-experience\js-create-experience.component.ts", "TypeScript", 0, 89, 0, 0, 1, 8, 98
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\jobseeker\js-create-qualification\js-create-qualification.component.css", "PostCSS", 0, 0, 0, 0, 0, 1, 1
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\jobseeker\js-create-qualification\js-create-qualification.component.html", "HTML", 0, 0, 94, 0, 1, 3, 98
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\jobseeker\js-create-qualification\js-create-qualification.component.ts", "TypeScript", 0, 59, 0, 0, 0, 6, 65
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\jobseeker\js-edit-profile\js-edit-profile.component.css", "PostCSS", 0, 0, 0, 0, 0, 1, 1
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\jobseeker\js-edit-profile\js-edit-profile.component.html", "HTML", 0, 0, 154, 0, 0, 1, 155
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\jobseeker\js-edit-profile\js-edit-profile.component.ts", "TypeScript", 0, 103, 0, 0, 2, 7, 112
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\jobseeker\js-list-item-experience\js-list-item-experience.component.css", "PostCSS", 0, 0, 0, 0, 0, 1, 1
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\jobseeker\js-list-item-experience\js-list-item-experience.component.html", "HTML", 0, 0, 24, 0, 0, 1, 25
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\jobseeker\js-list-item-experience\js-list-item-experience.component.ts", "TypeScript", 0, 13, 0, 0, 0, 5, 18
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\jobseeker\js-list-item-profile\js-list-item-profile.component.css", "PostCSS", 0, 0, 0, 0, 0, 1, 1
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\jobseeker\js-list-item-profile\js-list-item-profile.component.html", "HTML", 0, 0, 36, 0, 0, 3, 39
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\jobseeker\js-list-item-profile\js-list-item-profile.component.ts", "TypeScript", 0, 12, 0, 0, 0, 3, 15
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\jobseeker\js-list-item-qualification\js-list-item-qualification.component.css", "PostCSS", 0, 0, 0, 0, 0, 1, 1
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\jobseeker\js-list-item-qualification\js-list-item-qualification.component.html", "HTML", 0, 0, 18, 0, 0, 1, 19
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\jobseeker\js-list-item-qualification\js-list-item-qualification.component.ts", "TypeScript", 0, 13, 0, 0, 0, 5, 18
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\jobseeker\js-profile\js-profile.component.css", "PostCSS", 0, 0, 0, 0, 0, 1, 1
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\jobseeker\js-profile\js-profile.component.html", "HTML", 0, 0, 61, 0, 1, 5, 67
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\jobseeker\js-profile\js-profile.component.ts", "TypeScript", 0, 49, 0, 0, 0, 5, 54
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\landing-page-components\home\home.component.css", "PostCSS", 0, 0, 0, 0, 0, 1, 1
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\landing-page-components\home\home.component.html", "HTML", 0, 0, 56, 0, 0, 2, 58
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\landing-page-components\home\home.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 6, 26
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\landing-page-components\home\home.component.ts", "TypeScript", 0, 12, 0, 0, 0, 5, 17
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\landing-page-components\login\login.component.css", "PostCSS", 3, 0, 0, 0, 0, 0, 3
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\landing-page-components\login\login.component.html", "HTML", 0, 0, 40, 0, 1, 6, 47
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\landing-page-components\login\login.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 6, 26
